地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/08/27,09:56:49.2,千葉県東方沖,35°30.9′N,140°53.9′E,37 km,4.6,震度２

都道府県,震度,観測点名
千葉県,震度２,銚子市小畑新町 旭市南堀之内＊
千葉県,震度１,銚子市川口町 銚子市若宮町＊ 東金市東新宿 東金市日吉台＊ 旭市高生＊ 旭市萩園＊ 旭市ニ＊ 多古町多古 芝山町小池＊ 一宮町一宮 長南町総合グラウンド 香取市佐原平田 香取市佐原諏訪台＊ 香取市役所＊ 香取市仁良＊ 山武市松尾町富士見台 山武市蓮沼ニ＊ 山武市埴谷＊ 千葉花見川区花島町＊ 成田市名古屋 成田市松子＊ 市原市姉崎＊
茨城県,震度１,土浦市常名 茨城鹿嶋市鉢形 茨城鹿嶋市宮中＊ 潮来市堀之内 稲敷市江戸崎甲＊ 神栖市波崎＊
